business_category,market_risk,seasonal_risk,financial_risk,operational_risk,regulatory_risk,overall_risk_level
Retail / Kirana Store,"Medium - High competitor density in most villages, thin margins",Low - steady daily demand year-round,"Low - low investment, fast inventory turnover",Medium - dependent on supplier credit and stock management,Low - basic shop license/GST only,Low-Medium
Food & Beverage (Tea Stall/Tiffin),"Medium - many informal competitors, price-sensitive customers",Medium - demand dips in extreme summer/monsoon,Low - small daily capital cycle,"High - perishable inventory, hygiene compliance needed",Medium - FSSAI food license required,Medium
Dairy / Agri-based,Low - consistent local demand for milk/dairy,"High - yield varies with season, fodder cost fluctuation",Medium - higher upfront investment in livestock/equipment,"High - animal health risk, cold-chain/storage dependency",Medium - dairy cooperative/FSSAI norms,Medium-High
Textiles / Tailoring,"Medium - fashion trend dependency, festival-driven demand",High - heavy demand only around festivals/weddings,Low - moderate investment in machine/raw material,Medium - skill dependency on tailor/artisan availability,Low - minimal licensing,Medium
Handicrafts,"High - niche demand, limited local buyers, needs external markets",Medium - tourist/festival season spikes,Medium - raw material cost variability,Medium - dependent on artisan skill availability,Low - GI tagging/export compliance if scaling,Medium-High
Repair Services (Mobile/Electronics),Low - growing smartphone/electronics penetration in rural areas,Low - stable year-round demand,Low - moderate tool/equipment investment,"Medium - needs skilled technician, spare-parts sourcing",Low - minimal licensing,Low
Beauty / Salon,Medium - competition from informal home-based services,Medium - wedding season demand spikes,Low - moderate setup cost,Medium - dependent on trained staff retention,Low - basic trade license,Low-Medium
Transport Services (E-rickshaw),Medium - route saturation in peri-urban belts,"Low - consistent demand, minor monsoon disruption","High - high upfront vehicle cost, battery replacement cost",Medium - maintenance and charging infrastructure dependency,Medium - RTO registration and route permits,Medium-High
Education / Coaching Center,Low - consistent demand for tuition/skill training,Medium - enrollment cycles tied to academic calendar,Low - low infrastructure cost,Medium - dependent on qualified tutor availability,Low - no major licensing for small centers,Low-Medium
Small-scale Manufacturing,Medium - depends on distribution/retail tie-ups,Medium - some products festival/season dependent,High - higher machinery and raw material investment,"High - power supply dependency, quality control needs","Medium - MSME/Udyam registration, FSSAI if food-related",Medium-High
Stationery / Printing Shop,Medium - competition near schools/institutions,High - peak during school admission/exam season,Low - low-moderate investment,"Low - simple operations, low technical dependency",Low - basic trade license,Low-Medium
Agri-input / Equipment Rental,Low - steady demand tied to farming cycles,High - sowing/harvest season concentrated demand,High - high equipment/inventory investment,"Medium - storage, maintenance of rented equipment",Medium - fertilizer/pesticide license if applicable,Medium-High
